response_timestamp,experience_years,Gender?,Age range?,Location?,Highest level of education?,What type of content writing do you primarily focus on? [Click all that apply],What industries do you primarily write for? [Click all that apply],How do you primarily source your clients? [Click all that apply],What's your current average monthly income from content writing? (Select the range closest to your earnings),What type of clients do you currently serve? ,What percentage of your current workflow involves AI tools?,Which AI do you often use in your workflow? [Click all that apply] ,What do you use AI for? [Click all that apply],How many days in a week do you work?,What are the biggest challenges you currently face as a content writer? [Click all that apply],What skills have become more important in the last 2 years? (Select all that apply),Would you choose content writing as a career if you were starting today?,What has contributed greatly to your success as a content writer?,What has been the most effective strategy for getting your clients? ,What trends do you see shaping content writing in Nigeria over the next 2-5 years and how are you preparing? ,Which content and industry niches do you see the most growth opportunities for content writers? ,What advice would you give to new content writers entering the field now?,How can the content writing community in Nigeria be strengthened?
2024/12/04 1:19:26 AM GMT+1,8 - 10 years,She/Her,18-30,Abuja,Bachelor's Degree,Blog posts;Website content;Social media content;Email newsletters;SEO Content;Whitepapers;Case studies,SAAS;Technology;Finance,Referrals;LinkedIn;Direct pitching;Job boards,"Above ₦2,000,000",International companies,26-50%,Chat GPT;Grammarly,Generating ideas;Editing content,3 - 4 days,Finding new clients that pay my rate,SEO expertise;Data analysis;Content strategy,Maybe,"My success as a content writer stems from one key trait: receptiveness to feedback.

When I joined the B2B SaaS industry in 2020, my growth accelerated because I began working with skilled editors who provided direct, actionable feedback. Over time, I realized that every company has its unique way of approaching content—style guides, tone preferences, and even review processes vary widely.

Adapting to these differences often feels like starting over, especially with a new client. The first few projects can come with heavy feedback, and that can sometimes trigger self-doubt. But I’ve learned to see feedback—no matter how it’s delivered—as a tool for growth, not a critique of my abilities.

Instead of taking it personally, I use feedback as a guide to becoming a stronger writer. Whether it’s asking for clarification, researching a client’s preferred style, or simply learning as I go, every revision helps me refine my craft.

At the end of the day, your writing skills will only take you so far. How you respond to feedback, learn from it, and use it to consistently improve is what sets you apart.","My most effective strategy for getting clients has been referrals—doing great work and being easy to work with.

When I deliver solid results that genuinely help my clients, I've found that they’ll naturally want to share their experience (as a testimonial) or even share my name with others. But let’s be real—it’s not just about the work. It’s about the experience of working together. Did you hit deadlines? Communicate clearly? Handle feedback without getting defensive?

Clients love recommending people who make their lives easier. No one wants to say, “Oh, they’re great, but…” So, I make it a point to deliver quality and be the kind of person they’re happy to recommend—someone reliable, professional, and adaptable.

Referrals have this built-in trust factor. When someone says, “You’ve got to work with [Your Name], they’re amazing,” it carries way more weight than a cold pitch. And honestly, when your clients feel good about recommending you, it means you’re doing something right.","In the next 2-5 years, I see companies in Nigeria moving away from traditional SEO content and focusing more on video content, customer stories, and community-driven posts.

Why? Because audiences want content that feels engaging, relatable, and human—especially now that generative AI makes basic SEO articles feel less unique.

Video grabs attention quickly and keeps people watching. Customer stories build trust by showing real experiences. And community posts help companies connect on a personal level, creating space for two-way conversations.

To keep up with these changes, I’m adjusting my services to include video scripts, customer story creation, and repurposing content for different formats. I’m also spending more time in online communities to understand what people care about and more ways to create content that feels authentic and engaging.","Finance and Cryptocurrency
Artificial Intelligence (AI) and Technology
Technical Writing
SaaS","My #1 advice to a newbie writer is to go beyond SEO writing skills.

While understanding SEO is important, it’s only one piece of the puzzle. To truly stand out, focus on building a well-rounded skill set that includes storytelling, audience research, and adaptability across different content formats. Companies want writers who can create engaging content that resonates with their audience across multiple platforms—not just search engines. So, learn to write for various formats: blog posts, video scripts, newsletters, customer stories, and even social media captions. The more versatile you are, the more doors you’ll open.

Most of all, always keep learning and improving. Embrace feedback, stay curious about industry trends, and continuously refine your craft. Writing isn’t just about producing content—it’s about delivering value in a way that feels meaningful and drives business results.","We need more local meetups and active communities like FCDC, where Nigerian writers can connect, learn from one another, and address common industry challenges. These spaces provide a platform to share experiences and insights, making it easier to grow and navigate the hurdles of content writing—whether you’re freelancing or working in-house."
2024/12/05 5:21:59 PM GMT+1,6 - 8 years,He/Him,18-30,Lagos,Bachelor's Degree,Blog posts;Website content;SEO Content;Case studies,SAAS;Technology;Healthcare,Social media;Direct pitching,"₦500,000 - ₦2,000,000",International companies,0-25%,Chat GPT,Generating ideas;Editing content,3 - 4 days,Finding high-paying clients;Market saturation,AI tool proficiency;SEO expertise;Content strategy,Yes,"I think the number one quality that has contributed the most to my success as a writer has been my willingness to put myself out there and take risks. This has enabled me to niche down, charge more and attract high-quality clients. ",Pitching ,"I think Nigerian writers should prioritize mastering their niche/niches and learning writing-adjacent skills such as SEO and content strategy, considering the rise of generative AI. With AI-generated results dominating the SERP, I see websites placing more emphasis on having AI bots link to their content, which would have to demonstrate thought leadership to meet this criteria. Writers who have mastered their niche or are great at content strategy will be in the best position to help these businesses do that. ","I think the industries poised to see the most growth are still the big three: tech, health and finances. What's great about these niches is that they're so broad that they have tons of sub-niches that writers can specialize in. ","Besides the generic advice of preparing writing samples and pitching to jobs, be proactive about differentiating yourself from other writers. This has become so important due to the rise of AI and the resulting competition stemming from it. Two ways you can differentiate yourself are building a personal brand and upskilling. ",
2024/12/09 7:15:55 PM GMT+1,2 - 4 years,She/Her,18-30,Bayelsa ,Secondary School Certificate,Blog posts;Website content;SEO Content,SAAS;Healthcare,LinkedIn,"Below ₦200,000",Nigerian companies,26-50%,Chat GPT;Claude AI,Generating ideas;Writing first drafts;Editing content;,3 - 4 days,Finding high-paying clients;Lack of requires skills;Laptop got stolen and can't afford a new one. So now writing on my phone ,AI tool proficiency;SEO expertise;Data analysis;Content strategy,Yes,Relentlessness and a need to not be poor,LinkedIn ,"SEO expertise has already begun shaping the scene, but the ability to do extensive research and do so quickly is more essential ","B2B, health and Web 3",Write. ,Not sure 
2024/12/28 10:36:06 AM GMT+1,4 - 6 years,She/Her,18-30,Lagos,Masters' Degree,Blog posts;Website content;Social media content;Email newsletters;SEO Content;Case studies,Healthcare;Education;E-commerce,Freelance platforms,"Above ₦2,000,000",International companies,26-50%,Chat GPT;Jasper;Grammarly,Generating ideas;Editing content,3 - 4 days,Meeting deadlines & maintaining high quality standards,AI tool proficiency;Content strategy,Maybe,,,,,,
2024/12/30 12:55:02 PM GMT+1,8 - 10 years,She/Her,18-30,Lagos,Masters' Degree,Blog posts,Lifestyle/entertainment ,Social media;Referrals,"Below ₦200,000",Nigerian companies,0-25%,Grammarly,Editing content,3 - 4 days,Finding high-paying clients,Content strategy;Content writing ,Yes,Social media has contributed to my success. I go on social media and I see content ideas. Interacting with people ,P,,Blog writing and website ,"Keep writing, keep learning and acquiring the skills you need in your niche ",Create more skill acquisition and opportunities 
2024/12/30 3:13:55 PM GMT+1,Less than 2 years,She/Her,18-30,Akwa - Ibom,Ond,Social media content;Technical writing,Healthcare;Food,Social media;LinkedIn,"Below ₦200,000",Nigerian companies,26-50%,Chat GPT;Grammarly;Quillbot,Writing first drafts;Editing content,5 - 6 days,Finding high-paying clients,SEO expertise;Data analysis,Yes,Researchs,Dms,,,Research more,
2024/12/30 5:51:32 PM GMT+1,2 - 4 years,She/Her,18-30,Lagos,Bachelor's Degree,Brand stories and thought leadership articles,Technology,"I work with an agency, so clients typically reach out to us","Below ₦200,000",Nigerian companies,0-25%,Chat GPT;Claude AI;Grammarly;Quillbot,Generating ideas;Writing first drafts;Editing content,5 - 6 days,Connectivity issues;Meeting deadlines & maintaining high quality standards,AI tool proficiency;Data analysis;Content strategy,Yes,Reading widely ,Clients typically reach out to my agency,Increase in the use of AI ,Technology and lifestyle/entertainment ,"Read, read, read, read",Writers need to know their worth and charge and act accordingly 
2024/12/30 9:37:23 PM GMT+1,Less than 2 years,She/Her,18-30,Ilorin ,Secondary School Certificate,Blog posts;Social media content;SEO Content,Cryptocurrency/Web3,Social media;Referrals;LinkedIn;Direct pitching,"Below ₦200,000",Nigerian companies,0-25%,Chat GPT;Grammarly,Generating ideas;Editing content,3 - 4 days,Finding high-paying clients;Competition from AI,SEO expertise;Content strategy,Maybe,Social media. Putting myself out there as a content writer has gotten me various opportunities ,Talking about what I do on social media. ,I've been learning how to use AI while inputting the right prompts. ,"Web3, I guess ","Upskill. Learn how to write various content. Of course, learn SEO too even if it's just keyword research. ",Having a strong community with quality events like tech events. 
2024/12/31 11:17:58 AM GMT+1,2 - 4 years,She/Her,18-30,Abuja,Bachelor's Degree,Blog posts;Website content;SEO Content,Technology;Finance;Cryptocurrency/Web3;E-commerce,Referrals,"Below ₦200,000",Nigerian companies,0-25%,Chat GPT;Grammarly;Quillbot,Generating ideas,1 - 2 days,Finding high-paying clients;Payment issues;Meeting deadlines & maintaining high quality standards,AI tool proficiency;SEO expertise;Content strategy,Maybe,Being in a circle of content writers.,"Currently, I'm still trying out a lot of strategies.",AI ,"Fin-Tech brands, web3 contents ",Build a strong personal brand.,Meetings and mentorship programs.
2024/12/31 5:42:12 PM GMT+1,Less than 2 years,He/Him,18-30,Owerri,Bachelor's Degree,Blog posts;Social media content;Technical writing;Case studies,SAAS;Technology;Cryptocurrency/Web3;Education,Social media;Referrals,"Below ₦200,000",Nigerian companies,0-25%,Chat GPT;Claude AI,Generating ideas;Editing content,5 - 6 days,Connectivity issues;Technological challenges;Meeting deadlines & maintaining high quality standards,SEO expertise;Data analysis;Content strategy,Maybe,Volunteering for events ,,,"Tech, Web3, Case studies",,
2024/12/31 8:21:26 PM GMT+1,6 - 8 years,He/Him,31-35,Ilorin ,Masters' Degree,Blog posts;Website content;Social media content;Email newsletters;SEO Content;Case studies,SAAS;Technology;Finance;Cryptocurrency/Web3,Social media;Referrals;Freelance platforms;LinkedIn;Direct pitching,"₦200,000 - ₦500,000",Nigerian companies;International companies,51-75%,Chat GPT;Claude AI;Grammarly,Generating ideas;Writing first drafts;Editing content,3 - 4 days,Finding high-paying clients;Competition from AI;Connectivity issues;Market saturation,AI tool proficiency;SEO expertise;Content strategy,No,Connecting with new people and building a solid personal brand on X has been a great contributior to my writing journey. ,Cold pitching and referrals has been helpful a great deal and they overt for me. ,"Full implementation of AI will happen and this will have a great impact on how people hire.
I am presently better with AI promoting anf using AI tools for my content journey from scratch to finish. It will continue to be better with contant practicing.

","Marketing technology
Machine l3arning
Cryptocurrency ",They should be versatile and always update their skills. ,By building a centralized community for everyone. 
2025/01/02 12:26:43 PM GMT+1,2 - 4 years,She/Her,18-30,Lagos,Bachelor's Degree,Blog posts;Website content;Social media content;SEO Content,SAAS;Technology;E-commerce,Referrals,"₦200,000 - ₦500,000",Both local and international,26-50%,Chat GPT;Claude AI;Grammarly,Generating ideas,5 - 6 days,Finding high-paying clients,AI tool proficiency;SEO expertise;Data analysis;Content strategy,No,,,,,,
2025/01/06 2:57:46 PM GMT+1,2 - 4 years,She/Her,18-30,Port - Harcourt,Bachelor's Degree,Blog posts;Website content;SEO Content,SAAS;Finance,Referrals;LinkedIn,"₦200,000 - ₦500,000",Nigerian companies,51-75%,Chat GPT;Deepseek,Generating ideas;Writing first drafts;Editing content,3 - 4 days,Finding high-paying clients;Connectivity issues;Market saturation;Meeting deadlines & maintaining high quality standards,AI tool proficiency;Content strategy,Yes,My personal brand on linkedin ,My personal brand on linkedin ,Integrating AI in the process ,Finance. Technical writers ,SEO isn't everything..know how to network ,Industries need to see the value of having content beyond instagram pages 
2025/01/08 10:25:53 AM GMT+1,2 - 4 years,She/Her,18-30,Lagos,Bachelor's Degree,Blog posts;Social media content;SEO Content;YouTube script ,Healthcare;E-commerce,Social media;Referrals,"Below ₦200,000",Both local and international,26-50%,Chat GPT;Claude AI;Copy AI;Grammarly;Quillbot,Generating ideas;Editing content,3 - 4 days,Finding high-paying clients;Market saturation,AI tool proficiency;SEO expertise;Data analysis;Content strategy,Yes,Building a circle of other content writers,Google searches on Nairaland ,Ai seems to advancing and adapting over time. I’m doing my best to get acquainted to its use while maintaining authenticity ,Web 3,It’s important that you're being paid for your work but please don’t start out with that as you’re main focus. Most importantly strive to gain mastery.,
2025/01/08 10:41:21 AM GMT+1,2 - 4 years,She/Her,18-30,Lagos,Bachelor's Degree,Blog posts;Website content;Social media content;SEO Content,SAAS;Finance;Education,Referrals;Direct pitching,"Below ₦200,000",Nigerian companies,0-25%,Chat GPT;Grammarly;Quillbot,Generating ideas,3 - 4 days,Finding high-paying clients;Market saturation;Payment issues,AI tool proficiency;SEO expertise;Content strategy,Yes,"Consistency. Constant, frequent writing, whether paid or not.",Referrals.,"I am certain that more fields will emerge that will require knowledgeable writers. Likewkse, AI (or any other future technological development) may get even more advanced and possibly unseat writers from their jobs now. This will then create a need for more skills. Therefore, how I I preparing for this is upskilling. Learning other skills as well as expanding my writing skill.","Finance, lifestyle, business.","Never stop learning. Unskilled like your life depends on it. Learn new skills, don't wait for the world to force you. Put yourself out there.","Writers need to find writers. Writers need to connect with, befriend and support writers, no doubt. Leading writers should constantly organise classes and build communities for upcoming writers. Upcoming writers should also be open to learning and be encouraged when they make attempts to put themselves out there."
2025/01/08 10:46:04 AM GMT+1,Less than 2 years,She/Her,18-30,Port - Harcourt,Bachelor's Degree,Social media content,Finance;Education;E-commerce,Social media;Referrals,"Below ₦200,000",Both local and international,0-25%,Chat GPT;Grammarly,Editing content,3 - 4 days,Payment issues;Meeting deadlines & maintaining high quality standards;Lack of requires skills,Content strategy,Yes,"The fact that I get to practice every single day.
And making use of char gpt,. It improved the way I write, speak and also tell stories about the product or services I am drafting out content for ","Referrals 
Doing a job well, I mean, putting my best into it and getting a reward - another client brings another client like MMM",I REALLY CANT DELVE DEEP INTO THIS ONE ,"Food/restaurant.
Real estate ","Just start small small. 
",
2025/01/10 9:18:41 AM GMT+1,2 - 4 years,She/Her,18-30,Akwa - Ibom,Bachelor's Degree,Blog posts;Website content;Social media content;SEO Content,SAAS;Technology;Finance;Cryptocurrency/Web3;E-commerce,Social media;Freelance platforms,"Below ₦200,000",Nigerian companies,0-25%,Chat GPT;Grammarly;Quillbot,Generating ideas,3 - 4 days,Finding high-paying clients;Market saturation;Payment issues,SEO expertise;Content strategy,Yes,Reading. Taking in existing works is just a major brain tick. I wouldn't be confident stringing words if I didn't give them my  time.,Great Portfolio. It boosts my confidence and cuts the long thinking process in the hirer's mind. ,Content writing in Nigeria will be juxtaposed with marketing in the next years. I now write pieces selling stuff or helping a reader to solve a problem. And I'm gaining up for this by getting familiarized with the field through intentional learning and practice.,"Fintech, SaaS, E-commerce ","• Decide on a niche.
• Read often on it.
• Follow thought leaders.
• Build a great portfolio. You don't need to work for a brand or various clients to get started, take up personal projects, and use free publishing platforms like WordPress, Medium & Substack to your benefit.","Content Writers can unionize the industry through intentional community building and participation. Here, writing payment discussions will be had to curtail the familiar ""1 naira for one word"" payment phrase and bring reasonable pay rates. "
2025/01/10 9:22:09 PM GMT+1,2 - 4 years,She/Her,18-30,Lagos,Bachelor's Degree,Blog posts;Website content;SEO Content,SAAS;Technology;Legal,"Social media;Referrals;LinkedIn;job boards, newsletters","Above ₦2,000,000",International companies,26-50%,Chat GPT;Grammarly;Quillbot,Generating ideas;Editing content,3 - 4 days,Finding high-paying clients;Lack of requires skills;Upskilling and finding concistent work.,AI tool proficiency;SEO expertise;Content strategy;Creative writing (how to tell a story like a human),Maybe,"Mostly being friendly. To be honest, a lot of my gigs are referrals, and although I know I do good work, I think a significant portion of my success comes from my open, friendly attitude. Yep, personality hire here!",Linkedin posts mostly. The occasional educational tweet on Twitter. ,"I think people will need content writers that can do more than write (tech SEO, AI prompting, product marketing etc). I just hope they can pay us our worth.","Cliche, but AI.
I also see a rising need in compliance/legal industries (especially regarding AI).
Oh and Web3 is really taking off, so lots of crypto and blockchain-related companies will need help.","Be visible. Learn. Do not spread yourself too thin (both with learning and with clients). You do not have to niche immediately, but do not write for a hundred and one industries. 

Also, be patient and try to follow freelance newsletters and communities. Communities give you opportunity, and visibility, if you're active. Pick one or two actives ones, and be helpful.

You can do this! It might take some time but you can!","Salary transparency mostly. That will genuinely stop a lot of writers from undercharging, and might even help Nigerian companies rate us better. 

We also need a strong sense of community like designers and developers. We are scattered everywhere and there's little collaboration across writers. Put your friends on. Write articles with people."
